State,Year,Quarter,Reg_name,Reg_users,App_opening
west-bengal,2021,3,south twenty four parganas district,1383020,23765288
west-bengal,2021,3,purba bardhaman district,847622,15020358
west-bengal,2021,3,uttar dinajpur district,425320,10453927
west-bengal,2021,3,kalimpong district,40581,1787640
west-bengal,2021,3,murshidabad district,1342984,21103271
west-bengal,2021,3,paschim medinipur district,922218,20226812
west-bengal,2021,3,dakshin dinajpur district,304201,4804545
west-bengal,2021,3,jalpaiguri district,280624,7690594
west-bengal,2021,3,purulia district,469472,11407463
west-bengal,2021,3,north twenty four parganas district,2852030,47835815
west-bengal,2021,3,bankura district,695804,14483541
west-bengal,2021,3,jhargram district,133927,4306987
west-bengal,2021,3,howrah district,1077467,15417318
west-bengal,2021,3,hooghly district,1198858,18451061
west-bengal,2021,3,kolkata district,2078360,32297893
west-bengal,2021,3,koch bihar district,401546,9466032
west-bengal,2021,3,alipurduar district,195128,5854359
west-bengal,2021,3,paschim bardhaman district,845830,13640640
west-bengal,2021,3,nadia district,1026795,16684700
west-bengal,2021,3,birbhum district,644407,10749052
west-bengal,2021,3,purba medinipur district,1017925,18619093
west-bengal,2021,3,maldah district,710699,15940220
west-bengal,2021,3,darjiling district,428460,8582057
west-bengal,2020,3,south twenty four parganas district,1023020,18223510
west-bengal,2020,3,purba bardhaman district,639938,10641239
west-bengal,2020,3,uttar dinajpur district,306778,5262403
west-bengal,2020,3,kalimpong district,28769,404822
west-bengal,2020,3,murshidabad district,1005986,14032076
west-bengal,2020,3,paschim medinipur district,689466,13083495
west-bengal,2020,3,dakshin dinajpur district,226578,2694137
west-bengal,2020,3,jalpaiguri district,201715,3494600
west-bengal,2020,3,purulia district,349322,5186788
west-bengal,2020,3,north twenty four parganas district,2143943,39918904
west-bengal,2020,3,bankura district,528677,8006307
west-bengal,2020,3,jhargram district,99907,1688252
west-bengal,2020,3,howrah district,804627,13539941
west-bengal,2020,3,hooghly district,906517,17245617
west-bengal,2020,3,kolkata district,1573291,25089057
west-bengal,2020,3,koch bihar district,287891,4731944
west-bengal,2020,3,alipurduar district,140255,2404447
west-bengal,2020,3,paschim bardhaman district,637247,10779487
west-bengal,2020,3,nadia district,768633,13198488
west-bengal,2020,3,birbhum district,488395,7070042
west-bengal,2020,3,purba medinipur district,760873,15424927
west-bengal,2020,3,maldah district,525231,9812697
west-bengal,2020,3,darjiling district,311307,4621651
west-bengal,2023,3,south twenty four parganas district,2074469,36106296
west-bengal,2023,3,purba bardhaman district,1272153,13425281
west-bengal,2023,3,uttar dinajpur district,659711,30979165
west-bengal,2023,3,kalimpong district,60803,12163745
west-bengal,2023,3,murshidabad district,2023550,22637926
west-bengal,2023,3,paschim medinipur district,1384076,27253598
west-bengal,2023,3,dakshin dinajpur district,468842,11036806
west-bengal,2023,3,jalpaiguri district,427529,27526284
west-bengal,2023,3,purulia district,711605,40151644
west-bengal,2023,3,north twenty four parganas district,4241525,15161063
west-bengal,2023,3,bankura district,1040840,30550117
west-bengal,2023,3,jhargram district,200795,15380154
west-bengal,2023,3,howrah district,1608895,7720866
west-bengal,2023,3,hooghly district,1787671,6860509
west-bengal,2023,3,kolkata district,3053050,6895145
west-bengal,2023,3,koch bihar district,614856,35359585
west-bengal,2023,3,alipurduar district,297043,20820021
west-bengal,2023,3,paschim bardhaman district,1260756,13439780
west-bengal,2023,3,nadia district,1544294,12674328
west-bengal,2023,3,birbhum district,974363,18961683
west-bengal,2023,3,purba medinipur district,1530289,18593769
west-bengal,2023,3,maldah district,1091634,28020285
west-bengal,2023,3,darjiling district,637665,21732323
west-bengal,2018,3,south twenty four parganas district,284988,0
west-bengal,2018,3,purba bardhaman district,230690,0
west-bengal,2018,3,uttar dinajpur district,93951,0
west-bengal,2018,3,kalimpong district,6258,0
west-bengal,2018,3,murshidabad district,335935,0
west-bengal,2018,3,paschim medinipur district,238405,0
west-bengal,2018,3,dakshin dinajpur district,71362,0
west-bengal,2018,3,jalpaiguri district,60422,0
west-bengal,2018,3,purulia district,131658,0
west-bengal,2018,3,north twenty four parganas district,722572,0
west-bengal,2018,3,bankura district,207830,0
west-bengal,2018,3,jhargram district,35579,0
west-bengal,2018,3,howrah district,255445,0
west-bengal,2018,3,hooghly district,280640,0
west-bengal,2018,3,kolkata district,548600,0
west-bengal,2018,3,koch bihar district,83390,0
west-bengal,2018,3,alipurduar district,42522,0
west-bengal,2018,3,paschim bardhaman district,251021,0
west-bengal,2018,3,nadia district,262694,0
west-bengal,2018,3,birbhum district,182144,0
west-bengal,2018,3,purba medinipur district,252759,0
west-bengal,2018,3,maldah district,177439,0
west-bengal,2018,3,darjiling district,95436,0
west-bengal,2019,3,south twenty four parganas district,659919,11640483
west-bengal,2019,3,purba bardhaman district,428350,7257620
west-bengal,2019,3,uttar dinajpur district,189407,2523533
west-bengal,2019,3,kalimpong district,15312,183357
west-bengal,2019,3,murshidabad district,622422,9294082
west-bengal,2019,3,paschim medinipur district,455417,8280953
west-bengal,2019,3,dakshin dinajpur district,146051,1806053
west-bengal,2019,3,jalpaiguri district,122923,1806874
west-bengal,2019,3,purulia district,230836,3683732
west-bengal,2019,3,north twenty four parganas district,1478650,33572269
west-bengal,2019,3,bankura district,353058,6715391
west-bengal,2019,3,jhargram district,65500,1116758
west-bengal,2019,3,howrah district,540552,9743134
west-bengal,2019,3,hooghly district,624518,13191323
west-bengal,2019,3,kolkata district,1138965,22126534
west-bengal,2019,3,koch bihar district,172002,2433275
west-bengal,2019,3,alipurduar district,85888,1176861
west-bengal,2019,3,paschim bardhaman district,438438,7691224
west-bengal,2019,3,nadia district,502635,8909989
west-bengal,2019,3,birbhum district,331414,5342422
west-bengal,2019,3,purba medinipur district,504142,9655511
west-bengal,2019,3,maldah district,340720,5661227
west-bengal,2019,3,darjiling district,196103,2746406
west-bengal,2022,3,south twenty four parganas district,1745822,15038778
west-bengal,2022,3,purba bardhaman district,1070637,11905873
west-bengal,2022,3,uttar dinajpur district,548552,12801052
west-bengal,2022,3,kalimpong district,51490,5252399
west-bengal,2022,3,murshidabad district,1696729,14345841
west-bengal,2022,3,paschim medinipur district,1165076,17584516
west-bengal,2022,3,dakshin dinajpur district,389892,6814372
west-bengal,2022,3,jalpaiguri district,358402,14583593
west-bengal,2022,3,purulia district,595970,17748718
west-bengal,2022,3,north twenty four parganas district,3578500,15071624
west-bengal,2022,3,bankura district,876942,19359761
west-bengal,2022,3,jhargram district,169238,6932555
west-bengal,2022,3,howrah district,1354886,3768021
west-bengal,2022,3,hooghly district,1506412,7341952
west-bengal,2022,3,kolkata district,2588380,7233109
west-bengal,2022,3,koch bihar district,513734,15866079
west-bengal,2022,3,alipurduar district,249040,9798727
west-bengal,2022,3,paschim bardhaman district,1062575,7436013
west-bengal,2022,3,nadia district,1296764,8193105
west-bengal,2022,3,birbhum district,817245,10038558
west-bengal,2022,3,purba medinipur district,1286641,8539781
west-bengal,2022,3,maldah district,909646,11766412
west-bengal,2022,3,darjiling district,539475,9024909
