State,Year,Quarter,Reg_name,Reg_users
west-bengal,2021,3,north twenty four parganas,2852030
west-bengal,2021,3,kolkata,2078360
west-bengal,2021,3,south twenty four parganas,1383020
west-bengal,2021,3,murshidabad,1342984
west-bengal,2021,3,hooghly,1198858
west-bengal,2021,3,howrah,1077467
west-bengal,2021,3,nadia,1026795
west-bengal,2021,3,purba medinipur,1017925
west-bengal,2021,3,paschim medinipur,922218
west-bengal,2021,3,purba bardhaman,847622
west-bengal,2020,3,north twenty four parganas,2143943
west-bengal,2020,3,kolkata,1573291
west-bengal,2020,3,south twenty four parganas,1023020
west-bengal,2020,3,murshidabad,1005986
west-bengal,2020,3,hooghly,906517
west-bengal,2020,3,howrah,804627
west-bengal,2020,3,nadia,768633
west-bengal,2020,3,purba medinipur,760873
west-bengal,2020,3,paschim medinipur,689466
west-bengal,2020,3,purba bardhaman,639938
west-bengal,2023,3,north twenty four parganas,4241525
west-bengal,2023,3,kolkata,3053050
west-bengal,2023,3,south twenty four parganas,2074469
west-bengal,2023,3,murshidabad,2023550
west-bengal,2023,3,hooghly,1787671
west-bengal,2023,3,howrah,1608895
west-bengal,2023,3,nadia,1544294
west-bengal,2023,3,purba medinipur,1530289
west-bengal,2023,3,paschim medinipur,1384076
west-bengal,2023,3,purba bardhaman,1272153
west-bengal,2018,3,north twenty four parganas,722572
west-bengal,2018,3,kolkata,548600
west-bengal,2018,3,murshidabad,335935
west-bengal,2018,3,south twenty four parganas,284988
west-bengal,2018,3,hooghly,280640
west-bengal,2018,3,nadia,262694
west-bengal,2018,3,howrah,255445
west-bengal,2018,3,purba medinipur,252759
west-bengal,2018,3,paschim bardhaman,251021
west-bengal,2018,3,paschim medinipur,238405
west-bengal,2019,3,north twenty four parganas,1478650
west-bengal,2019,3,kolkata,1138965
west-bengal,2019,3,south twenty four parganas,659919
west-bengal,2019,3,hooghly,624518
west-bengal,2019,3,murshidabad,622422
west-bengal,2019,3,howrah,540552
west-bengal,2019,3,purba medinipur,504142
west-bengal,2019,3,nadia,502635
west-bengal,2019,3,paschim medinipur,455417
west-bengal,2019,3,paschim bardhaman,438438
west-bengal,2022,3,north twenty four parganas,3578500
west-bengal,2022,3,kolkata,2588380
west-bengal,2022,3,south twenty four parganas,1745822
west-bengal,2022,3,murshidabad,1696729
west-bengal,2022,3,hooghly,1506412
west-bengal,2022,3,howrah,1354886
west-bengal,2022,3,nadia,1296764
west-bengal,2022,3,purba medinipur,1286641
west-bengal,2022,3,paschim medinipur,1165076
west-bengal,2022,3,purba bardhaman,1070637
nagaland,2021,3,dimapur,109644
nagaland,2021,3,kohima,43467
nagaland,2021,3,mon,18911
nagaland,2021,3,mokokchung,18340
nagaland,2021,3,wokha,11126
nagaland,2021,3,tuensang,10433
nagaland,2021,3,phek,8933
nagaland,2021,3,zunheboto,7147
nagaland,2021,3,peren,5089
nagaland,2021,3,kiphire,4626
nagaland,2020,3,dimapur,79061
nagaland,2020,3,kohima,31483
nagaland,2020,3,mon,13591
nagaland,2020,3,mokokchung,13155
nagaland,2020,3,wokha,7980
nagaland,2020,3,tuensang,7220
nagaland,2020,3,phek,6151
nagaland,2020,3,zunheboto,4942
nagaland,2020,3,peren,3486
nagaland,2020,3,kiphire,3306
nagaland,2023,3,dimapur,165789
nagaland,2023,3,kohima,65492
nagaland,2023,3,mon,29096
nagaland,2023,3,mokokchung,27434
nagaland,2023,3,wokha,16792
nagaland,2023,3,tuensang,15941
nagaland,2023,3,phek,13632
nagaland,2023,3,zunheboto,10809
nagaland,2023,3,peren,7771
nagaland,2023,3,kiphire,7130
nagaland,2018,3,dimapur,17039
nagaland,2018,3,kohima,6298
nagaland,2018,3,mokokchung,2313
nagaland,2018,3,mon,1287
nagaland,2018,3,phek,1083
nagaland,2018,3,wokha,1017
nagaland,2018,3,tuensang,934
nagaland,2018,3,zunheboto,821
nagaland,2018,3,peren,526
nagaland,2018,3,kiphire,465
nagaland,2019,3,dimapur,41036
nagaland,2019,3,kohima,15677
nagaland,2019,3,mokokchung,5593
nagaland,2019,3,mon,3976
nagaland,2019,3,wokha,2961
nagaland,2019,3,phek,2642
nagaland,2019,3,tuensang,2599
nagaland,2019,3,zunheboto,2058
nagaland,2019,3,peren,1377
nagaland,2019,3,kiphire,1251
nagaland,2022,3,dimapur,139011
nagaland,2022,3,kohima,55046
nagaland,2022,3,mon,24237
nagaland,2022,3,mokokchung,23192
nagaland,2022,3,wokha,14092
nagaland,2022,3,tuensang,13393
nagaland,2022,3,phek,11494
nagaland,2022,3,zunheboto,9128
nagaland,2022,3,peren,6534
nagaland,2022,3,kiphire,5963
chandigarh,2021,3,chandigarh,480463
chandigarh,2020,3,chandigarh,362588
chandigarh,2023,3,chandigarh,704144
chandigarh,2018,3,chandigarh,143893
chandigarh,2019,3,chandigarh,267337
chandigarh,2022,3,chandigarh,598698
meghalaya,2021,3,east khasi hills,90505
meghalaya,2021,3,west garo hills,47869
meghalaya,2021,3,ribhoi,21875
meghalaya,2021,3,east jaintia hills,15847
meghalaya,2021,3,west jaintia hills,10337
meghalaya,2021,3,north garo hills,7584
meghalaya,2021,3,south west garo hills,7531
meghalaya,2021,3,east garo hills,7389
meghalaya,2021,3,south garo hills,6442
meghalaya,2021,3,west khasi hills,5884
meghalaya,2020,3,east khasi hills,65268
meghalaya,2020,3,west garo hills,34201
meghalaya,2020,3,ribhoi,15427
meghalaya,2020,3,east jaintia hills,11084
meghalaya,2020,3,west jaintia hills,6997
meghalaya,2020,3,north garo hills,5242
meghalaya,2020,3,south west garo hills,5082
meghalaya,2020,3,east garo hills,5002
meghalaya,2020,3,south garo hills,4370
meghalaya,2020,3,west khasi hills,3899
meghalaya,2023,3,east khasi hills,134378
meghalaya,2023,3,west garo hills,73025
meghalaya,2023,3,ribhoi,33175
meghalaya,2023,3,east jaintia hills,24260
meghalaya,2023,3,west jaintia hills,15633
meghalaya,2023,3,south west garo hills,11626
meghalaya,2023,3,north garo hills,11624
meghalaya,2023,3,east garo hills,11212
meghalaya,2023,3,south garo hills,9809
meghalaya,2023,3,west khasi hills,8831
meghalaya,2018,3,east khasi hills,17543
meghalaya,2018,3,west garo hills,7529
meghalaya,2018,3,ribhoi,3889
meghalaya,2018,3,east jaintia hills,2886
meghalaya,2018,3,west jaintia hills,1465
meghalaya,2018,3,south garo hills,821
meghalaya,2018,3,south west garo hills,810
meghalaya,2018,3,north garo hills,737
meghalaya,2018,3,west khasi hills,730
meghalaya,2018,3,east garo hills,694
meghalaya,2019,3,east khasi hills,38761
meghalaya,2019,3,west garo hills,18509
meghalaya,2019,3,ribhoi,9007
meghalaya,2019,3,east jaintia hills,6371
meghalaya,2019,3,west jaintia hills,3346
meghalaya,2019,3,north garo hills,2403
meghalaya,2019,3,east garo hills,2313
meghalaya,2019,3,south west garo hills,2306
meghalaya,2019,3,south garo hills,2020
meghalaya,2019,3,west khasi hills,1838
meghalaya,2022,3,east khasi hills,113816
meghalaya,2022,3,west garo hills,61273
meghalaya,2022,3,ribhoi,27844
meghalaya,2022,3,east jaintia hills,20320
meghalaya,2022,3,west jaintia hills,13176
meghalaya,2022,3,north garo hills,9773
meghalaya,2022,3,south west garo hills,9735
meghalaya,2022,3,east garo hills,9484
meghalaya,2022,3,south garo hills,8265
meghalaya,2022,3,west khasi hills,7493
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,dadra and nagar haveli,222731
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,daman,135976
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,diu,13167
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,dadra and nagar haveli,160183
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,daman,98108
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,diu,9655
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,dadra and nagar haveli,341846
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,daman,207437
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,diu,19752
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,dadra and nagar haveli,55626
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,daman,32651
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,diu,3830
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,dadra and nagar haveli,105329
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,daman,64854
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,diu,6746
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,dadra and nagar haveli,284923
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,daman,173219
